id;identifier;generation_id;is_main_series;;
66;blaze;3;1;;"INSERT  INTO habilidad (id,identifier,generation_id,is_main_series) VALUES(66,""blaze"",3,1);"
67;torrent;3;1;;"INSERT  INTO habilidad (id,identifier,generation_id,is_main_series) VALUES(67,""torrent"",3,1);"
68;swarm;3;1;;"INSERT  INTO habilidad (id,identifier,generation_id,is_main_series) VALUES(68,""swarm"",3,1);"
69;rock-head;3;1;;"INSERT  INTO habilidad (id,identifier,generation_id,is_main_series) VALUES(69,""rock-head"",3,1);"
70;drought;3;1;;"INSERT  INTO habilidad (id,identifier,generation_id,is_main_series) VALUES(70,""drought"",3,1);"
71;arena-trap;3;1;;"INSERT  INTO habilidad (id,identifier,generation_id,is_main_series) VALUES(71,""arena-trap"",3,1);"
72;vital-spirit;3;1;;"INSERT  INTO habilidad (id,identifier,generation_id,is_main_series) VALUES(72,""vital-spirit"",3,1);"
73;white-smoke;3;1;;"INSERT  INTO habilidad (id,identifier,generation_id,is_main_series) VALUES(73,""white-smoke"",3,1);"
74;pure-power;3;1;;"INSERT  INTO habilidad (id,identifier,generation_id,is_main_series) VALUES(74,""pure-power"",3,1);"
75;shell-armor;3;1;;"INSERT  INTO habilidad (id,identifier,generation_id,is_main_series) VALUES(75,""shell-armor"",3,1);"
76;air-lock;3;1;;"INSERT  INTO habilidad (id,identifier,generation_id,is_main_series) VALUES(76,""air-lock"",3,1);"
77;tangled-feet;4;1;;"INSERT  INTO habilidad (id,identifier,generation_id,is_main_series) VALUES(77,""tangled-feet"",4,1);"
78;motor-drive;4;1;;"INSERT  INTO habilidad (id,identifier,generation_id,is_main_series) VALUES(78,""motor-drive"",4,1);"
79;rivalry;4;1;;"INSERT  INTO habilidad (id,identifier,generation_id,is_main_series) VALUES(79,""rivalry"",4,1);"
80;steadfast;4;1;;"INSERT  INTO habilidad (id,identifier,generation_id,is_main_series) VALUES(80,""steadfast"",4,1);"
81;snow-cloak;4;1;;"INSERT  INTO habilidad (id,identifier,generation_id,is_main_series) VALUES(81,""snow-cloak"",4,1);"
82;gluttony;4;1;;"INSERT  INTO habilidad (id,identifier,generation_id,is_main_series) VALUES(82,""gluttony"",4,1);"
83;anger-point;4;1;;"INSERT  INTO habilidad (id,identifier,generation_id,is_main_series) VALUES(83,""anger-point"",4,1);"
84;unburden;4;1;;"INSERT  INTO habilidad (id,identifier,generation_id,is_main_series) VALUES(84,""unburden"",4,1);"
85;heatproof;4;1;;"INSERT  INTO habilidad (id,identifier,generation_id,is_main_series) VALUES(85,""heatproof"",4,1);"
86;simple;4;1;;"INSERT  INTO habilidad (id,identifier,generation_id,is_main_series) VALUES(86,""simple"",4,1);"
87;dry-skin;4;1;;"INSERT  INTO habilidad (id,identifier,generation_id,is_main_series) VALUES(87,""dry-skin"",4,1);"
88;download;4;1;;"INSERT  INTO habilidad (id,identifier,generation_id,is_main_series) VALUES(88,""download"",4,1);"
89;iron-fist;4;1;;"INSERT  INTO habilidad (id,identifier,generation_id,is_main_series) VALUES(89,""iron-fist"",4,1);"
90;poison-heal;4;1;;"INSERT  INTO habilidad (id,identifier,generation_id,is_main_series) VALUES(90,""poison-heal"",4,1);"
91;adaptability;4;1;;"INSERT  INTO habilidad (id,identifier,generation_id,is_main_series) VALUES(91,""adaptability"",4,1);"
92;skill-link;4;1;;"INSERT  INTO habilidad (id,identifier,generation_id,is_main_series) VALUES(92,""skill-link"",4,1);"
93;hydration;4;1;;"INSERT  INTO habilidad (id,identifier,generation_id,is_main_series) VALUES(93,""hydration"",4,1);"
94;solar-power;4;1;;"INSERT  INTO habilidad (id,identifier,generation_id,is_main_series) VALUES(94,""solar-power"",4,1);"
95;quick-feet;4;1;;"INSERT  INTO habilidad (id,identifier,generation_id,is_main_series) VALUES(95,""quick-feet"",4,1);"
96;normalize;4;1;;"INSERT  INTO habilidad (id,identifier,generation_id,is_main_series) VALUES(96,""normalize"",4,1);"
97;sniper;4;1;;"INSERT  INTO habilidad (id,identifier,generation_id,is_main_series) VALUES(97,""sniper"",4,1);"
98;magic-guard;4;1;;"INSERT  INTO habilidad (id,identifier,generation_id,is_main_series) VALUES(98,""magic-guard"",4,1);"
99;no-guard;4;1;;"INSERT  INTO habilidad (id,identifier,generation_id,is_main_series) VALUES(99,""no-guard"",4,1);"
100;stall;4;1;;"INSERT  INTO habilidad (id,identifier,generation_id,is_main_series) VALUES(100,""stall"",4,1);"
101;technician;4;1;;"INSERT  INTO habilidad (id,identifier,generation_id,is_main_series) VALUES(101,""technician"",4,1);"
102;leaf-guard;4;1;;"INSERT  INTO habilidad (id,identifier,generation_id,is_main_series) VALUES(102,""leaf-guard"",4,1);"
103;klutz;4;1;;"INSERT  INTO habilidad (id,identifier,generation_id,is_main_series) VALUES(103,""klutz"",4,1);"
104;mold-breaker;4;1;;"INSERT  INTO habilidad (id,identifier,generation_id,is_main_series) VALUES(104,""mold-breaker"",4,1);"
105;super-luck;4;1;;"INSERT  INTO habilidad (id,identifier,generation_id,is_main_series) VALUES(105,""super-luck"",4,1);"
106;aftermath;4;1;;"INSERT  INTO habilidad (id,identifier,generation_id,is_main_series) VALUES(106,""aftermath"",4,1);"
107;anticipation;4;1;;"INSERT  INTO habilidad (id,identifier,generation_id,is_main_series) VALUES(107,""anticipation"",4,1);"
108;forewarn;4;1;;"INSERT  INTO habilidad (id,identifier,generation_id,is_main_series) VALUES(108,""forewarn"",4,1);"
109;unaware;4;1;;"INSERT  INTO habilidad (id,identifier,generation_id,is_main_series) VALUES(109,""unaware"",4,1);"
110;tinted-lens;4;1;;"INSERT  INTO habilidad (id,identifier,generation_id,is_main_series) VALUES(110,""tinted-lens"",4,1);"
111;filter;4;1;;"INSERT  INTO habilidad (id,identifier,generation_id,is_main_series) VALUES(111,""filter"",4,1);"
112;slow-start;4;1;;"INSERT  INTO habilidad (id,identifier,generation_id,is_main_series) VALUES(112,""slow-start"",4,1);"
113;scrappy;4;1;;"INSERT  INTO habilidad (id,identifier,generation_id,is_main_series) VALUES(113,""scrappy"",4,1);"
114;storm-drain;4;1;;"INSERT  INTO habilidad (id,identifier,generation_id,is_main_series) VALUES(114,""storm-drain"",4,1);"
115;ice-body;4;1;;"INSERT  INTO habilidad (id,identifier,generation_id,is_main_series) VALUES(115,""ice-body"",4,1);"
116;solid-rock;4;1;;"INSERT  INTO habilidad (id,identifier,generation_id,is_main_series) VALUES(116,""solid-rock"",4,1);"
117;snow-warning;4;1;;"INSERT  INTO habilidad (id,identifier,generation_id,is_main_series) VALUES(117,""snow-warning"",4,1);"
118;honey-gather;4;1;;"INSERT  INTO habilidad (id,identifier,generation_id,is_main_series) VALUES(118,""honey-gather"",4,1);"
119;frisk;4;1;;"INSERT  INTO habilidad (id,identifier,generation_id,is_main_series) VALUES(119,""frisk"",4,1);"
120;reckless;4;1;;"INSERT  INTO habilidad (id,identifier,generation_id,is_main_series) VALUES(120,""reckless"",4,1);"
121;multitype;4;1;;"INSERT  INTO habilidad (id,identifier,generation_id,is_main_series) VALUES(121,""multitype"",4,1);"
122;flower-gift;4;1;;"INSERT  INTO habilidad (id,identifier,generation_id,is_main_series) VALUES(122,""flower-gift"",4,1);"
123;bad-dreams;4;1;;"INSERT  INTO habilidad (id,identifier,generation_id,is_main_series) VALUES(123,""bad-dreams"",4,1);"
124;pickpocket;5;1;;"INSERT  INTO habilidad (id,identifier,generation_id,is_main_series) VALUES(124,""pickpocket"",5,1);"
125;sheer-force;5;1;;"INSERT  INTO habilidad (id,identifier,generation_id,is_main_series) VALUES(125,""sheer-force"",5,1);"
126;contrary;5;1;;"INSERT  INTO habilidad (id,identifier,generation_id,is_main_series) VALUES(126,""contrary"",5,1);"
127;unnerve;5;1;;"INSERT  INTO habilidad (id,identifier,generation_id,is_main_series) VALUES(127,""unnerve"",5,1);"
128;defiant;5;1;;"INSERT  INTO habilidad (id,identifier,generation_id,is_main_series) VALUES(128,""defiant"",5,1);"
129;defeatist;5;1;;"INSERT  INTO habilidad (id,identifier,generation_id,is_main_series) VALUES(129,""defeatist"",5,1);"
130;cursed-body;5;1;;"INSERT  INTO habilidad (id,identifier,generation_id,is_main_series) VALUES(130,""cursed-body"",5,1);"
131;healer;5;1;;"INSERT  INTO habilidad (id,identifier,generation_id,is_main_series) VALUES(131,""healer"",5,1);"
132;friend-guard;5;1;;"INSERT  INTO habilidad (id,identifier,generation_id,is_main_series) VALUES(132,""friend-guard"",5,1);"
133;weak-armor;5;1;;"INSERT  INTO habilidad (id,identifier,generation_id,is_main_series) VALUES(133,""weak-armor"",5,1);"
134;heavy-metal;5;1;;"INSERT  INTO habilidad (id,identifier,generation_id,is_main_series) VALUES(134,""heavy-metal"",5,1);"
135;light-metal;5;1;;"INSERT  INTO habilidad (id,identifier,generation_id,is_main_series) VALUES(135,""light-metal"",5,1);"
136;multiscale;5;1;;"INSERT  INTO habilidad (id,identifier,generation_id,is_main_series) VALUES(136,""multiscale"",5,1);"
137;toxic-boost;5;1;;"INSERT  INTO habilidad (id,identifier,generation_id,is_main_series) VALUES(137,""toxic-boost"",5,1);"
138;flare-boost;5;1;;"INSERT  INTO habilidad (id,identifier,generation_id,is_main_series) VALUES(138,""flare-boost"",5,1);"
139;harvest;5;1;;"INSERT  INTO habilidad (id,identifier,generation_id,is_main_series) VALUES(139,""harvest"",5,1);"
140;telepathy;5;1;;"INSERT  INTO habilidad (id,identifier,generation_id,is_main_series) VALUES(140,""telepathy"",5,1);"
141;moody;5;1;;"INSERT  INTO habilidad (id,identifier,generation_id,is_main_series) VALUES(141,""moody"",5,1);"
142;overcoat;5;1;;"INSERT  INTO habilidad (id,identifier,generation_id,is_main_series) VALUES(142,""overcoat"",5,1);"
143;poison-touch;5;1;;"INSERT  INTO habilidad (id,identifier,generation_id,is_main_series) VALUES(143,""poison-touch"",5,1);"
144;regenerator;5;1;;"INSERT  INTO habilidad (id,identifier,generation_id,is_main_series) VALUES(144,""regenerator"",5,1);"
145;big-pecks;5;1;;"INSERT  INTO habilidad (id,identifier,generation_id,is_main_series) VALUES(145,""big-pecks"",5,1);"
146;sand-rush;5;1;;"INSERT  INTO habilidad (id,identifier,generation_id,is_main_series) VALUES(146,""sand-rush"",5,1);"
147;wonder-skin;5;1;;"INSERT  INTO habilidad (id,identifier,generation_id,is_main_series) VALUES(147,""wonder-skin"",5,1);"
148;analytic;5;1;;"INSERT  INTO habilidad (id,identifier,generation_id,is_main_series) VALUES(148,""analytic"",5,1);"
149;illusion;5;1;;"INSERT  INTO habilidad (id,identifier,generation_id,is_main_series) VALUES(149,""illusion"",5,1);"
150;imposter;5;1;;"INSERT  INTO habilidad (id,identifier,generation_id,is_main_series) VALUES(150,""imposter"",5,1);"
151;infiltrator;5;1;;"INSERT  INTO habilidad (id,identifier,generation_id,is_main_series) VALUES(151,""infiltrator"",5,1);"
152;mummy;5;1;;"INSERT  INTO habilidad (id,identifier,generation_id,is_main_series) VALUES(152,""mummy"",5,1);"
153;moxie;5;1;;"INSERT  INTO habilidad (id,identifier,generation_id,is_main_series) VALUES(153,""moxie"",5,1);"
154;justified;5;1;;"INSERT  INTO habilidad (id,identifier,generation_id,is_main_series) VALUES(154,""justified"",5,1);"
155;rattled;5;1;;"INSERT  INTO habilidad (id,identifier,generation_id,is_main_series) VALUES(155,""rattled"",5,1);"
156;magic-bounce;5;1;;"INSERT  INTO habilidad (id,identifier,generation_id,is_main_series) VALUES(156,""magic-bounce"",5,1);"
157;sap-sipper;5;1;;"INSERT  INTO habilidad (id,identifier,generation_id,is_main_series) VALUES(157,""sap-sipper"",5,1);"
158;prankster;5;1;;"INSERT  INTO habilidad (id,identifier,generation_id,is_main_series) VALUES(158,""prankster"",5,1);"
159;sand-force;5;1;;"INSERT  INTO habilidad (id,identifier,generation_id,is_main_series) VALUES(159,""sand-force"",5,1);"
160;iron-barbs;5;1;;"INSERT  INTO habilidad (id,identifier,generation_id,is_main_series) VALUES(160,""iron-barbs"",5,1);"
161;zen-mode;5;1;;"INSERT  INTO habilidad (id,identifier,generation_id,is_main_series) VALUES(161,""zen-mode"",5,1);"
162;victory-star;5;1;;"INSERT  INTO habilidad (id,identifier,generation_id,is_main_series) VALUES(162,""victory-star"",5,1);"
163;turboblaze;5;1;;"INSERT  INTO habilidad (id,identifier,generation_id,is_main_series) VALUES(163,""turboblaze"",5,1);"
164;teravolt;5;1;;"INSERT  INTO habilidad (id,identifier,generation_id,is_main_series) VALUES(164,""teravolt"",5,1);"
165;aroma-veil;6;1;;"INSERT  INTO habilidad (id,identifier,generation_id,is_main_series) VALUES(165,""aroma-veil"",6,1);"
166;flower-veil;6;1;;"INSERT  INTO habilidad (id,identifier,generation_id,is_main_series) VALUES(166,""flower-veil"",6,1);"
167;cheek-pouch;6;1;;"INSERT  INTO habilidad (id,identifier,generation_id,is_main_series) VALUES(167,""cheek-pouch"",6,1);"
168;protean;6;1;;"INSERT  INTO habilidad (id,identifier,generation_id,is_main_series) VALUES(168,""protean"",6,1);"
169;fur-coat;6;1;;"INSERT  INTO habilidad (id,identifier,generation_id,is_main_series) VALUES(169,""fur-coat"",6,1);"
170;magician;6;1;;"INSERT  INTO habilidad (id,identifier,generation_id,is_main_series) VALUES(170,""magician"",6,1);"
171;bulletproof;6;1;;"INSERT  INTO habilidad (id,identifier,generation_id,is_main_series) VALUES(171,""bulletproof"",6,1);"
172;competitive;6;1;;"INSERT  INTO habilidad (id,identifier,generation_id,is_main_series) VALUES(172,""competitive"",6,1);"
173;strong-jaw;6;1;;"INSERT  INTO habilidad (id,identifier,generation_id,is_main_series) VALUES(173,""strong-jaw"",6,1);"
174;refrigerate;6;1;;"INSERT  INTO habilidad (id,identifier,generation_id,is_main_series) VALUES(174,""refrigerate"",6,1);"
175;sweet-veil;6;1;;"INSERT  INTO habilidad (id,identifier,generation_id,is_main_series) VALUES(175,""sweet-veil"",6,1);"
176;stance-change;6;1;;"INSERT  INTO habilidad (id,identifier,generation_id,is_main_series) VALUES(176,""stance-change"",6,1);"
177;gale-wings;6;1;;"INSERT  INTO habilidad (id,identifier,generation_id,is_main_series) VALUES(177,""gale-wings"",6,1);"
178;mega-launcher;6;1;;"INSERT  INTO habilidad (id,identifier,generation_id,is_main_series) VALUES(178,""mega-launcher"",6,1);"
179;grass-pelt;6;1;;"INSERT  INTO habilidad (id,identifier,generation_id,is_main_series) VALUES(179,""grass-pelt"",6,1);"
180;symbiosis;6;1;;"INSERT  INTO habilidad (id,identifier,generation_id,is_main_series) VALUES(180,""symbiosis"",6,1);"
181;tough-claws;6;1;;"INSERT  INTO habilidad (id,identifier,generation_id,is_main_series) VALUES(181,""tough-claws"",6,1);"
182;pixilate;6;1;;"INSERT  INTO habilidad (id,identifier,generation_id,is_main_series) VALUES(182,""pixilate"",6,1);"
183;gooey;6;1;;"INSERT  INTO habilidad (id,identifier,generation_id,is_main_series) VALUES(183,""gooey"",6,1);"
184;aerilate;6;1;;"INSERT  INTO habilidad (id,identifier,generation_id,is_main_series) VALUES(184,""aerilate"",6,1);"
185;parental-bond;6;1;;"INSERT  INTO habilidad (id,identifier,generation_id,is_main_series) VALUES(185,""parental-bond"",6,1);"
186;dark-aura;6;1;;"INSERT  INTO habilidad (id,identifier,generation_id,is_main_series) VALUES(186,""dark-aura"",6,1);"
187;fairy-aura;6;1;;"INSERT  INTO habilidad (id,identifier,generation_id,is_main_series) VALUES(187,""fairy-aura"",6,1);"
188;aura-break;6;1;;"INSERT  INTO habilidad (id,identifier,generation_id,is_main_series) VALUES(188,""aura-break"",6,1);"
189;primordial-sea;6;1;;"INSERT  INTO habilidad (id,identifier,generation_id,is_main_series) VALUES(189,""primordial-sea"",6,1);"
190;desolate-land;6;1;;"INSERT  INTO habilidad (id,identifier,generation_id,is_main_series) VALUES(190,""desolate-land"",6,1);"
191;delta-stream;6;1;;"INSERT  INTO habilidad (id,identifier,generation_id,is_main_series) VALUES(191,""delta-stream"",6,1);"
192;stamina;7;1;;"INSERT  INTO habilidad (id,identifier,generation_id,is_main_series) VALUES(192,""stamina"",7,1);"
193;wimp-out;7;1;;"INSERT  INTO habilidad (id,identifier,generation_id,is_main_series) VALUES(193,""wimp-out"",7,1);"
194;emergency-exit;7;1;;"INSERT  INTO habilidad (id,identifier,generation_id,is_main_series) VALUES(194,""emergency-exit"",7,1);"
195;water-compaction;7;1;;"INSERT  INTO habilidad (id,identifier,generation_id,is_main_series) VALUES(195,""water-compaction"",7,1);"
196;merciless;7;1;;"INSERT  INTO habilidad (id,identifier,generation_id,is_main_series) VALUES(196,""merciless"",7,1);"
197;shields-down;7;1;;"INSERT  INTO habilidad (id,identifier,generation_id,is_main_series) VALUES(197,""shields-down"",7,1);"
198;stakeout;7;1;;"INSERT  INTO habilidad (id,identifier,generation_id,is_main_series) VALUES(198,""stakeout"",7,1);"
199;water-bubble;7;1;;"INSERT  INTO habilidad (id,identifier,generation_id,is_main_series) VALUES(199,""water-bubble"",7,1);"
200;steelworker;7;1;;"INSERT  INTO habilidad (id,identifier,generation_id,is_main_series) VALUES(200,""steelworker"",7,1);"
201;berserk;7;1;;"INSERT  INTO habilidad (id,identifier,generation_id,is_main_series) VALUES(201,""berserk"",7,1);"
202;slush-rush;7;1;;"INSERT  INTO habilidad (id,identifier,generation_id,is_main_series) VALUES(202,""slush-rush"",7,1);"
203;long-reach;7;1;;"INSERT  INTO habilidad (id,identifier,generation_id,is_main_series) VALUES(203,""long-reach"",7,1);"
204;liquid-voice;7;1;;"INSERT  INTO habilidad (id,identifier,generation_id,is_main_series) VALUES(204,""liquid-voice"",7,1);"
205;triage;7;1;;"INSERT  INTO habilidad (id,identifier,generation_id,is_main_series) VALUES(205,""triage"",7,1);"
206;galvanize;7;1;;"INSERT  INTO habilidad (id,identifier,generation_id,is_main_series) VALUES(206,""galvanize"",7,1);"
207;surge-surfer;7;1;;"INSERT  INTO habilidad (id,identifier,generation_id,is_main_series) VALUES(207,""surge-surfer"",7,1);"
208;schooling;7;1;;"INSERT  INTO habilidad (id,identifier,generation_id,is_main_series) VALUES(208,""schooling"",7,1);"
209;disguise;7;1;;"INSERT  INTO habilidad (id,identifier,generation_id,is_main_series) VALUES(209,""disguise"",7,1);"
210;battle-bond;7;1;;"INSERT  INTO habilidad (id,identifier,generation_id,is_main_series) VALUES(210,""battle-bond"",7,1);"
211;power-construct;7;1;;"INSERT  INTO habilidad (id,identifier,generation_id,is_main_series) VALUES(211,""power-construct"",7,1);"
212;corrosion;7;1;;"INSERT  INTO habilidad (id,identifier,generation_id,is_main_series) VALUES(212,""corrosion"",7,1);"
213;comatose;7;1;;"INSERT  INTO habilidad (id,identifier,generation_id,is_main_series) VALUES(213,""comatose"",7,1);"
214;queenly-majesty;7;1;;"INSERT  INTO habilidad (id,identifier,generation_id,is_main_series) VALUES(214,""queenly-majesty"",7,1);"
215;innards-out;7;1;;"INSERT  INTO habilidad (id,identifier,generation_id,is_main_series) VALUES(215,""innards-out"",7,1);"
216;dancer;7;1;;"INSERT  INTO habilidad (id,identifier,generation_id,is_main_series) VALUES(216,""dancer"",7,1);"
217;battery;7;1;;"INSERT  INTO habilidad (id,identifier,generation_id,is_main_series) VALUES(217,""battery"",7,1);"
218;fluffy;7;1;;"INSERT  INTO habilidad (id,identifier,generation_id,is_main_series) VALUES(218,""fluffy"",7,1);"
219;dazzling;7;1;;"INSERT  INTO habilidad (id,identifier,generation_id,is_main_series) VALUES(219,""dazzling"",7,1);"
